Season,Season title,Episodes,Total_episodes_till_arc
1.0,East Blue[1],61.0,61.0
2.0,Entering into the Grand Line,16.0,77.0
3.0,Introducing Chopper at the Winter Island,14.0,91.0
4.0,"Arrival in Alabasta, Fierce Fighting in Alabasta",39.0,130.0
5.0,"Dreams!, The Zenny Pirate Crew Sortie!, Beyond the Rainbow",13.0,143.0
6.0,"Sky Island ~ Skypiea, The Golden Bell",52.0,195.0
7.0,Escape! The Marine Fortress & The Foxy Pirate Crew,33.0,228.0
8.0,Water Seven,35.0,263.0
9.0,Enies Lobby,73.0,336.0
10.0,Thriller Bark,45.0,381.0
11.0,Sabaody Archipelago,26.0,407.0
12.0,Island of Women,14.0,421.0
13.0,Impel Down,35.0,456.0
14.0,Marineford,60.0,516.0
15.0,Fishman Island,62.0,578.0
16.0,Punk Hazard,50.0,628.0
17.0,Dressrosa,118.0,746.0
18.0,Zou,36.0,782.0
19.0,Whole Cake Island,109.0,891.0
20.0,Wano Country,174.0,1065.0
