Season,Season title,Episodes,,Originally aired,,Total Epidsodes 
,,,,First aired,Last aired,
1,East Blue[1],61,,"October 20, 1999 (1999-10-20)","March 14, 2001 (2001-03-14)",61
2,Entering into the Grand Line,16,,"March 21, 2001 (2001-03-21)","August 19, 2001 (2001-08-19)",77
3,Introducing Chopper at the Winter Island,14,,"August 26, 2001 (2001-08-26)","December 9, 2001 (2001-12-09)",91
4,"Arrival in Alabasta, Fierce Fighting in Alabasta",39,,"December 16, 2001 (2001-12-16)","October 27, 2002 (2002-10-27)",
5,"Dreams!, The Zenny Pirate Crew Sortie!, Beyond the Rainbow",13,,"November 3, 2002 (2002-11-03)","February 2, 2003 (2003-02-02)",
6,"Sky Island ~ Skypiea, The Golden Bell",52,,"February 9, 2003 (2003-02-09)","June 13, 2004 (2004-06-13)",
7,Escape! The Marine Fortress & The Foxy Pirate Crew,33,,"June 20, 2004 (2004-06-20)","March 27, 2005 (2005-03-27)",
8,Water Seven,35,,"April 17, 2005 (2005-04-17)","April 30, 2006 (2006-04-30)",263
9,Enies Lobby,73,,"May 21, 2006 (2006-05-21)","December 23, 2007 (2007-12-23)",336
10,Thriller Bark,45,,"January 6, 2008 (2008-01-06)","December 14, 2008 (2008-12-14)",381
11,Sabaody Archipelago,26,,"December 21, 2008 (2008-12-21)","June 28, 2009 (2009-06-28)",407
12,Island of Women,14,,"July 5, 2009 (2009-07-05)","October 11, 2009 (2009-10-11)",
13,Impel Down,35,,"October 18, 2009 (2009-10-18)","June 20, 2010 (2010-06-20)",
14,Marineford,60,,"July 27, 2010 (2010-07-27)","September 25, 2011 (2011-09-25)",
15,Fishman Island,62,,"October 2, 2011 (2011-10-02)","December 23, 2012 (2012-12-23)",
16,Punk Hazard,50,,"January 6, 2013 (2013-01-06)","January 12, 2014 (2014-01-12)",
17,Dressrosa,118,,"January 19, 2014 (2014-01-19)","June 19, 2016 (2016-06-19)",
18,Zou,36,,"June 26, 2016 (2016-06-26)","April 2, 2017 (2017-04-02)",
19,Whole Cake Island,109,,"April 9, 2017 (2017-04-09)","June 30, 2019 (2019-06-30)",
20,Wano Country,174,,"July 7, 2019 (2019-07-07)",TBA,
